customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0051-BFVKP,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,79.49,4118.47,No
0052-PAIFP,Female,0,No,Yes,6,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,58.34,353.31,No
0053-CTDSZ,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.35,98.82,No
0054-CSTGT,Female,0,Yes,No,30,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.0,2232.23,Yes
0055-IAHGR,Male,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.26,1673.76,No
0056-HAKYY,Male,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.98, ,No
0057-RWJCG,Female,0,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),73.22,1588.11,No
0058-PZPYT,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.47,159.21,No
0059-QBAPL,Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.83,1656.12,No
0060-EEWII,Female,1,Yes,No,39,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,43.95,1702.24,No
0061-CSPPC,Female,1,Yes,Yes,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,53.32,384.57,No
0062-TXVXA,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,93.5,673.61,No
0063-XTKQH,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,88.95, ,No
0064-DFHTC,Female,0,Yes,Yes,12,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),61.15,763.11,No
0065-PYCYR,Male,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.65,1667.1,No
0066-NRBVC,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),59.37,178.69,No
0067-PIDAD,Male,0,No,No,9,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,67.95,603.66,No
0068-ANUPT,Male,0,Yes,No,63,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),58.56,3580.88,No
0069-XHGCQ,Female,0,Yes,Yes,6,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,72.47,455.17,Yes
0070-APLSV,Male,0,No,No,42,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,59.83,2459.04,No
0071-WVNFF,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,102.99,5649.89,No
0072-MSVHB,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.84,1102.74,No
0073-UAOAE,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.03,701.34,Yes
0074-PSDCQ,Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.4,1037.88,No
0075-QLNUF,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.18,251.78,Yes
0076-CIEXQ,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.16,2291.86,No
0077-NUCAT,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.62, ,No
0078-UWACR,Female,0,No,Yes,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.03,1562.91,Yes
0079-YJVZC,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,79.42,4988.46,Yes
0080-HNXRO,Male,0,No,No,38,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,58.24,2067.17,No
0081-VWBJB,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,76.3,221.12,Yes
0082-ZQHAI,Female,0,No,No,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.15,247.88,Yes
0083-KVPGJ,Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.95,517.23,Yes
0084-WZCRY,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,63.59,60.72,No
0085-XMZGY,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.01,350.57,No
0086-DMTAH,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.39,88.2,Yes
0087-NPNLS,Female,0,No,No,43,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),83.94,3640.75,No
0088-WOBBW,Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.93,3309.93,No
0089-VSYZV,Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),93.6,2793.38,No
0090-ZZVQT,Female,1,No,No,42,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,66.54,2870.18,No
0091-JFOVK,Male,1,Yes,Yes,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,79.33,628.8,No
0092-EAHUL,Male,0,Yes,Yes,12,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,68.64,864.92,No
0093-LEGDF,Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.46,933.67,No
0094-MTOCW,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,91.08,6484.35,No
0095-HTPMR,Female,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,85.81,751.06,No
0096-JSQXS,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),108.64,4599.13,No
0097-ZWZEZ,Male,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,72.78,1458.94,No
0098-UWILU,Male,0,No,Yes,7,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.2,386.16,No
0099-AZZAO,Male,0,No,No,0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,69.09, ,No
0100-BVPYH,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.39, ,No
0101-MUAPG,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.98,36.44,Yes
0102-EVWCL,Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,91.92,2191.06,No
0103-ZPSEV,Male,0,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,107.02,6001.93,No
0104-YNEOQ,Female,1,No,No,31,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,72.28,2298.24,Yes
0105-NTELP,Female,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),113.74,7296.08,Yes
0106-ZZPUG,Male,0,Yes,No,54,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,75.4,4248.01,No
0107-DAEWZ,Male,0,Yes,No,46,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,66.8,3160.2,No
0108-JVEDB,Female,0,Yes,No,59,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),68.84,4145.04,No
0109-TJZSZ,Male,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.63,1687.95,Yes
0110-AXEMD,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),88.68,516.28,Yes
0111-PXPWB,Female,1,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,90.15,4095.15,Yes
0112-QTXLR,Male,0,Yes,No,2,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,77.97,147.3,Yes
0113-CAASK,Male,0,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,289.39,No
0114-ELCAA,Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.02,1004.79,No
0115-HJKLM,Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),83.16,4264.4,Yes
0116-LNBSR,Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.28,3175.25,Yes
0117-CWQZH,Female,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,32.53,2328.28,No
0118-ZJZBS,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),36.61,261.77,No
0119-IGDZU,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.3,5375.22,No
0120-RMKXD,Male,0,No,No,33,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.86,2802.06,No
0121-YUYDJ,Male,1,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.36,447.72,No
0122-EIXCQ,Male,0,No,No,35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,47.46,1613.1,No
0123-CPDRQ,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.66,1498.87,No
0124-GXWEL,Female,0,Yes,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.67, ,No
0125-QWMWY,Male,1,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.79,4893.26,No
0126-CIQQT,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),88.33,176.74,No
0127-PYVMS,Male,0,Yes,No,17,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),50.67,864.48,Yes
0128-QDLIS,Female,0,Yes,Yes,33,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,65.33,1988.91,No
0129-LIGNT,Female,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.91,837.55,Yes
0130-SZOPU,Female,0,No,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.64,731.97,No
0131-ECLYT,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,74.12,3883.84,No
0132-UDUWP,Male,0,No,No,25,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,74.0,1821.84,No
0133-YGMUJ,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,58.08,295.1,Yes
0134-ZGNZE,Female,0,No,No,51,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),77.92,4058.69,No
0135-CWKKR,Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,85.31,3717.73,No
0136-OLIJZ,Male,0,No,No,53,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.74,3825.4,No
0137-LQFGN,Female,0,Yes,No,30,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,74.25,2225.03,No
0138-MHJIR,Female,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.16,943.7,Yes
0139-ZBEEF,Male,0,No,No,37,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),72.54,2704.3,No
0140-SHPMA,Female,0,No,No,45,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,63.1,2919.23,No
0141-VTQGY,Male,0,Yes,No,61,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,64.16,3886.5,No
0142-MDDFS,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.26,1326.89,No
0143-LVGJZ,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,88.07,348.97,No
0144-SGCMM,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,84.31,1954.18,No
0145-RZTHI,Female,1,No,No,1,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,54.11,53.8,No
0146-GACMY,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,92.33,93.07,Yes
0147-QYXAF,Female,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,83.82,687.15,No
0148-UFZLM,Male,0,Yes,No,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,73.01,1128.83,No
0149-MOUPV,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),37.17,1890.8,No
0150-UKEDC,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.35,107.52,No
0151-STYRO,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.6,314.15,No
0152-IQNOA,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),83.13,4045.52,No
0153-UVVCP,Male,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,74.78,518.89,Yes
0154-WYKLJ,Male,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),91.92,5645.98,No
0155-PHFLX,Male,0,No,Yes,39,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.73,2569.75,No
0156-UHZDZ,Female,0,No,No,45,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,91.11,3869.43,No
0157-HZREI,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.55,2403.7,Yes
0158-DVQIA,Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,102.88,102.69,No
0159-UTMPM,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,54.61, ,No
0160-NCFRS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.49,2165.71,No
0161-EOYBJ,Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,89.18,4775.51,Yes
0162-XRMEW,Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.36,1231.97,No
0163-XAVAR,Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,111.28, ,Yes
0164-OQKUZ,Female,0,No,No,8,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.01,480.16,Yes
0165-YVQMA,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.68,74.43,No
0166-BICAU,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.22,796.56,No
0167-PWFQE,Female,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,85.71,3217.61,No
0168-EFCUW,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.59,1515.42,No
0169-EUEJJ,Male,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.51,60.12,No
0170-SQUNI,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.92,399.63,No
0171-NASMM,Male,0,No,No,35,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,64.09,2219.27,No
